@RELATION overallSatisfaction

@ATTRIBUTE roomType {PrivateRoom,EntireHome,SharedRoom}
@ATTRIBUTE neighborhood {LesCorts,SantsMontjuic,CiutatVella,SantMarti,Gracia,Horta,Sarria,Eixample,SantAndreu,NouBarris}
PrivateRoom,SantMarti,0,8,3,1,0,6,12
EntireHome,Eixample,0,8,5,3,0,5,9
EntireHome,Gracia,0,8,7,1,0,6,7
EntireHome,Eixample,0,9,7,3,0,7,9
PrivateRoom,SantAndreu,1,8,3,1,0,9,10
EntireHome,Eixample,0,7,6,3,0,3,7
EntireHome,SantsMontjuic,2,7,6,5,0,2,9
PrivateRoom,CiutatVella,0,9,3,1,0,4,10
PrivateRoom,Eixample,0,8,3,1,0,6,10
EntireHome,Eixample,0,8,7,3,0,6,9
PrivateRoom,Eixample,0,9,1,1,0,3,7
EntireHome,Gracia,1,8,5,1,0,6,6
PrivateRoom,CiutatVella,0,9,3,1,0,4,9
PrivateRoom,CiutatVella,0,8,7,1,0,3,9
PrivateRoom,CiutatVella,0,8,3,1,0,4,9
PrivateRoom,SantsMontjuic,0,9,1,1,0,3,5
PrivateRoom,SantMarti,3,7,3,1,0,6,12
EntireHome,Eixample,3,8,9,3,0,3,7
PrivateRoom,SantMarti,0,9,1,1,0,8,10
PrivateRoom,SantsMontjuic,0,8,3,1,0,2,8
PrivateRoom,Eixample,0,9,3,1,0,7,9
EntireHome,Eixample,1,7,7,3,0,6,9
EntireHome,SantsMontjuic,2,8,5,3,0,2,7
EntireHome,SantMarti,0,8,7,1,0,6,12
EntireHome,SantsMontjuic,1,8,7,1,0,2,7
EntireHome,Gracia,0,8,6,3,0,6,6
EntireHome,Eixample,0,9,8,5,0,7,9
PrivateRoom,CiutatVella,0,8,3,1,0,3,8
PrivateRoom,SantMarti,2,8,5,1,0,6,11
EntireHome,CiutatVella,0,7,5,1,0,3,8
PrivateRoom,Gracia,0,9,3,1,0,6,7
EntireHome,NouBarris,0,8,7,3,0,12,9
EntireHome,SantsMontjuic,0,8,6,5,0,2,6
EntireHome,Gracia,0,7,5,3,0,7,6
PrivateRoom,CiutatVella,3,8,3,1,0,3,8
PrivateRoom,SantMarti,0,9,3,1,0,5,10
EntireHome,Eixample,0,9,6,5,0,4,8
EntireHome,Eixample,1,8,7,1,0,4,8
EntireHome,Eixample,0,8,7,7,0,6,9
PrivateRoom,Eixample,0,6,1,1,0,6,10
EntireHome,Gracia,0,7,6,3,0,6,8
PrivateRoom,SantAndreu,0,9,1,1,0,9,10
PrivateRoom,SantsMontjuic,0,9,1,1,0,2,7
EntireHome,CiutatVella,1,8,10,7,1,3,8
PrivateRoom,SantsMontjuic,0,9,5,1,0,2,6
PrivateRoom,SantsMontjuic,0,9,3,1,0,2,8
PrivateRoom,Eixample,5,9,3,1,0,4,7
PrivateRoom,Eixample,0,8,3,1,0,4,7
EntireHome,SantMarti,1,8,8,5,0,4,11
PrivateRoom,Eixample,0,8,1,1,0,4,6
EntireHome,Eixample,0,8,9,7,0,7,9
PrivateRoom,SantsMontjuic,1,9,3,1,0,2,7
